dataset_id,name,institution,role
Ahrens_2019,Collin W. Ahrens,"Hawkesbury Institute for the Environment, Western Sydney University","collector, contact"
Ahrens_2019,Paul D. Rymer,"Hawkesbury Institute for the Environment, Western Sydney University",lab_leader
Ahrens_2019,Richard Mazanec,"Biodiversity and Conservation Science, Western Australian Department of Biodiversity, Conservation and Attractions, Kensington, WA, Australia",lab_leader
ANBG_2019,Lydia Guja,Australian National Botanic Gardens,lab_leader
ANBG_2019,Brook Clinton,"National Collections and Marine Infrastructure, CSIRO",collector
ANBG_2019,Tom North,"National Seed Bank, Biodiversity Science Section, Australian National Botanic Gardens",collector
ANBG_2019,Anne Fuchs,"Botanical Information, Biodiversity Science Section, Australian National Botanic Gardens",collector
Angevin_2011,Tara Angevin,La Trobe University,"collector, contact"
Angevin_2011,John Morgan,La Trobe University,lab_leader
Angevin_2011,Rachael Gallagher,Macquarie University Sydney,contributor
Apgaua_2015,Deborah Apgaua,James Cook University,"contact, contributor, collector"
Apgaua_2015,Yue Phin David Jeremiah-Seok Tng,James Cook University,collector
Apgaua_2015,Susan Laurance,James Cook University,"collector, lab_leader"
Apgaua_2017,Deborah Apgaua,James Cook University,"contact, contributor, collector"
Apgaua_2017,Yue Phin David Jeremiah-Seok Tng,James Cook University,collector
Apgaua_2017,Susan Laurance,James Cook University,collector
Atkinson_2020,Joe Atkinson,University of New South Wales,"collector, contact"
Atkinson_2020_2,Joe Atkinson,University of New South Wales,"collector, contact"
Baker_2019,Andrew Baker,Southern Cross University,"collector, contact, contributor, lab_leader"
Barlow_1981,Rachael Gallagher,Macquarie University Sydney,"collector, contributor"
Bean_1997,Anthony Bean,Queensland Herbarium,"collector, contact"
Bean_1997,Rachael Gallagher,Macquarie University Sydney,contributor
Blackman_2010,Chris Blackman,Western Sydney University,"collector, contact"
Blackman_2010,Tim Brodribb,University of Tasmania,lab_leader
Blackman_2010,Gregory Jordan,University of Tasmania,lab_leader
Bloomfield_2018,Keith Bloomfield,Australian National University,collector
Bloomfield_2018,Owen Atkin,Australian National University,"collector, lab_leader,contact"
Bragg_2002,Jason Bragg,"RBGDT, Sydney",collector
Bragg_2002,Mark Westoby,Macquarie University Sydney,lab_leader
Bragg_2002,Ian Wright,Macquarie University Sydney,contributor
BRAIN_2007,Rachael Gallagher,Macquarie University Sydney,contributor
Briggs_2010,Amber Briggs,unknown,collector
Briggs_2010,John Morgan,La Trobe University,lab_leader
Briggs_2010,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Brock_1993,John Brock,unknown,collector
Brock_1993,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Buckton_2019,Genevieve Buckton,James Cook University,collector
Buckton_2019,Lucas Cernusak,James Cook University,"lab_leader, contact"
Burrows_2001,Geoff Burrows,Charles Sturt University,"collector, contact"
Burrows_2001,Ian Wright,Macquarie University Sydney,contributor
Caldwell_2016,Elizabeth Caldwell,"School of Biological Sciences, Monash University",collector
Caldwell_2016,Jennifer Read,"School of Biological Sciences, Monash University","contact, collector, lab_leader"
Caldwell_2016,Gordon Sanson,"School of Biological Sciences, Monash University",collector
Catford_2014,Jane A. Catford,"King's College, London","collector, contact"
Cernusak_2006,Lucas Cernusak,James Cook University,"collector, contact"
Cernusak_2011,Lucas Cernusak,James Cook University,"collector, contact"
Chandler_2002,Gregory Chandler,unknown,"collector, contact"
Chandler_2002,Rachael Gallagher,Macquarie University Sydney,contributor
Cheal_2017,Annette Muir,"Department of Environment, Land, Water and Planning, Victoria","collector, contact"
Cheal_2017,Matthew White,"Department of Environment, Land, Water and Planning, Victoria",collector
Cheal_2017,David Cheal,"Department of Environment, Land, Water and Planning, Victoria, Australia; Federation University",collector
Cheal_2017,Michele Kohout,"Department of Environment, Land, Water and Planning, Victoria",collector
Cheesman_2020,Alex Cheesman,James Cook University,"collector, contact"
Cheesman_2020,Lucas Cernusak,James Cook University,collector
Chen_2017,Si-Chong Chen,University of New South Wales,"collector, contact, contributor"
Chen_2017,Angela Moles,University of New South Wales,lab_leader
Chinnock_2007,Robert Chinnock,State Herbarium of South Australia,"collector, contact"
Chinnock_2007,Rachael Gallagher,Macquarie University Sydney,contributor
Choat_2006,Brendan Choat,"University of Western Sydney, Hawkesbury Institute for the Environment","collector, contact"
Choat_2012,Brendan Choat,"University of Western Sydney, Hawkesbury Institute for the Environment","collector, contact"
Clarke_2015,Michael Lawes,Charles Darwin University,"collector, contact, lab_leader"
Clarke_2015,Peter Clarke,deceased,collector
Cooper_2004,Wendy Cooper,consultant,"collector, contact"
Cooper_2004,William Cooper,consultant,collector
Cooper_2004,Rachael Gallagher,Macquarie University Sydney,contributor
Cooper_2013,Daniel Metcalfe,CSIRO,"contact, contributor"
Cooper_2013,Wendy Cooper,consultant,collector
Cooper_2013,William Cooper,consultant,collector
CPBR_2002,Rachael Gallagher,Macquarie University Sydney,contributor
Craven_1987,Lyn Craven,Australian National Herbarium,collector
Craven_1987,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Craven_2010,Lyn Craven,Australian National Herbarium,collector
Craven_2010,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Crisp_2017,Michael Crisp,The Australian National University,"collector, contact"
Cross_2009,Erika Cross,Charles Sturt University,"collector, contact"
Cross_2009,John Morgan,La Trobe University,lab_leader
Cross_2009,Rachael Gallagher,Macquarie University Sydney,contributor
Crous_2013,Kristine Crous,"Hawkesbury Institute for the Environment, Western Sydney University","collector, contact"
Crous_2019,Kristine Crous,"Hawkesbury Institute for the Environment, Western Sydney University","collector, contact"
Cunningham_1999,Saul Cunningham,"CSIRO, contact",collector
Cunningham_1999,Mark Westoby,Macquarie University Sydney,lab_leader
Cunningham_1999,Ian Wright,Macquarie University Sydney,contributor
Curran_2009,Timothy Curran,Lincoln University,"collector, contact"
Curran_2009,Nigel Warwick,University of New England,lab_leader
Curran_2009,Peter Clarke,deceased,lab_leader
Curtis_2012,Andrea Leigh,University of Technology Sydney,"lab_leader, contact"
Curtis_2012,Ellen Curtis,University of Technology Sydney,collector
Denton_2007,Matthew Denton,"School of Agriculture, Food and Wine, University of Adelaide","collector, contact"
Denton_2007,Gregory Cawthray,University of Western Australia,collector
Denton_2007,Hans Lambers,University of Western Australia,lab_leader
Denton_2007,Erik Veneklaas,University of Western Australia,lab_leader
Denton_2007,Rachael Gallagher,Macquarie University Sydney,contributor
Detombeur_2021,Felix de Tombeur,"TERRA Teaching and Research Centre, Gembloux Agro-Bio Tech, University of Liege, Gembloux, Belgium","contact, collector"
Detombeur_2021,Etienne Laliberte,Universite de Montreal,lab_leader
Detombeur_2021,Hans Lambers,University of Western Australia,lab leader
Detombeur_2021,Graham Zemunik,University of Western Australia,collector
Dong_2017,Ning Dong,Macquarie University,"collector, contact"
Dong_2017,Ian Wright,Macquarie University,assistant
Dong_2017,Iain Colin Prentice,Imperial College London,lab_leader
Du_2018,Pengzhen Du,Lanzhou University,collector
Du_2018,Claire Farrell,University of Melbourne,"lab_leader, contact"
Du_2018,Stefan Arndt,University of Melbourne,lab_leader
Du_2019,Pengzhen Du,Lanzhou University,collector
Du_2019,Claire Farrell,University of Melbourne,"lab_leader, contact"
Du_2019,Stefan Arndt,University of Melbourne,lab_leader
Duan_2015,Honglang Duan,"Hawkesbury Institute for the Environment, Western Sydney University",collector
Duan_2015,David Tissue,"Hawkesbury Institute for the Environment, Western Sydney University","collector, lab_leader, contact"
Duan_2015,Renee Smith,"Hawkesbury Institute for the Environment, Western Sydney University",collector
Duncan_1998,David Duncan,Melbourne University,"collector, contact"
Duncan_1998,Mark Westoby,Macquarie University Sydney,lab_leader
Duncan_1998,Ian Wright,Macquarie University Sydney,contributor
Dwyer_2017,John M. Dwyer,University of Queensland,lab_leader
