study,slope,species,replicate,min_dq,max_dq,intercept,min_n,max_n
trouve_et_al,-1.52,1,1,9,26,12.07,1195,5513
trouve_et_al,-1.42,1,2,6,59,11.29,112,5513
trouve_et_al,-1.56,1,3,6,53,12.21,171,5513
trouve_et_al,-1.57,1,4,6,53,12.26,171,5513
trouve_et_al,-1.57,1,5,6,53,12.14,171,5513
trouve_et_al,-1.68,2,1,9,63,12.5,272,7259
trouve_et_al,-1.67,2,2,7,67,12.58,201,7259
trouve_et_al,-1.6,2,3,7,64,12.28,201,7259
trouve_et_al,-1.73,2,4,7,64,12.72,201,7259
trouve_et_al,-1.69,2,5,7,64,12.53,201,7259
trouve_et_al,-1.79,3,1,18,50,12.29,224,1156
trouve_et_al,-1.33,3,2,14,50,11.06,224,1445
trouve_et_al,-1.5,3,3,14,48,11.61,225,1445
trouve_et_al,-1.82,3,4,14,48,12.98,225,1445
trouve_et_al,-1.83,3,5,14,48,12.84,225,1445
trouve_et_al,-1.9,4,1,8,62,13.27,224,11100
trouve_et_al,-1.98,4,2,6,62,13.73,99,11475
trouve_et_al,-1.86,4,3,6,60,13.37,123,11475
trouve_et_al,-2.1,4,4,6,60,14.62,123,11475
trouve_et_al,-1.92,4,5,6,60,13.41,123,11475
trouve_et_al,-1.73,5,1,3,112,12.49,64,39288
trouve_et_al,-1.68,5,2,3,114,12.45,27,39288
trouve_et_al,-1.65,5,3,3,111,12.46,27,39288
trouve_et_al,-1.83,5,4,3,111,13.21,27,39288
trouve_et_al,-1.83,5,5,3,111,12.95,27,39288
trouve_et_al,-1.56,6,1,8,47,12.29,478,9525
trouve_et_al,-1.61,6,2,3,80,12.55,49,14247
trouve_et_al,-1.58,6,3,3,79,12.47,49,14247
trouve_et_al,-1.68,6,4,3,79,12.71,49,14247
trouve_et_al,-1.73,6,5,3,79,12.7,49,14247
condes_et_al,-1.545,1,1,11.2,37.6,5.280401,247,3656
condes_et_al,-1.539,1,2,10.1,50.1,5.18924,144,4317
condes_et_al,-2.226,1,3,10.1,52.9,6.084059,80,5363
