dataset_id,site_name,site_property,value
Ahrens_2019,BOO,latitude (deg),-34.638944
Ahrens_2019,BOO,longitude (deg),116.123806
Ahrens_2019,BOO,aridity index,1.05
Ahrens_2019,BOO,MAP (mm),1159
Ahrens_2019,BOO,max temp (C),25.6
Ahrens_2019,BRA,latitude (deg),-33.916389
Ahrens_2019,BRA,longitude (deg),115.083278
Ahrens_2019,BRA,aridity index,0.96
Ahrens_2019,BRA,MAP (mm),1072
Ahrens_2019,BRA,max temp (C),26.1
Ahrens_2019,CAR,latitude (deg),-34.419639
Ahrens_2019,CAR,longitude (deg),115.821306
Ahrens_2019,CAR,aridity index,0.98
Ahrens_2019,CAR,MAP (mm),1106
Ahrens_2019,CAR,max temp (C),25.9
Ahrens_2019,CHID,latitude (deg),-31.8682
Ahrens_2019,CHID,longitude (deg),116.222973
Ahrens_2019,CHID,aridity index,0.65
Ahrens_2019,CHID,MAP (mm),900
Ahrens_2019,CHID,max temp (C),32.2
Ahrens_2019,CRI,latitude (deg),-34.6015
Ahrens_2019,CRI,longitude (deg),118.742665
Ahrens_2019,CRI,aridity index,0.48
Ahrens_2019,CRI,MAP (mm),579
Ahrens_2019,CRI,max temp (C),26.2
Ahrens_2019,HRI,latitude (deg),-30.3114
Ahrens_2019,HRI,longitude (deg),115.201584
Ahrens_2019,HRI,aridity index,0.39
Ahrens_2019,HRI,MAP (mm),563
Ahrens_2019,HRI,max temp (C),31.7
Ahrens_2019,KIN,latitude (deg),-34.081167
Ahrens_2019,KIN,longitude (deg),116.330444
Ahrens_2019,KIN,aridity index,0.67
Ahrens_2019,KIN,MAP (mm),820
Ahrens_2019,KIN,max temp (C),27.7
Ahrens_2019,LUP,latitude (deg),-32.520667
Ahrens_2019,LUP,longitude (deg),116.499
Ahrens_2019,LUP,aridity index,0.45
Ahrens_2019,LUP,MAP (mm),635
Ahrens_2019,LUP,max temp (C),31.6
Ahrens_2019,MOG,latitude (deg),-31.0986
Ahrens_2019,MOG,longitude (deg),116.0508938
